Title,URL,Last Updated,Summary,Text_For_Model,Assigned_Department
Thames concordat: working with the Port of London Authority,https://www.gov.uk/government/publications/thames-concordat-working-with-the-port-of-london-authority,25 July 2016,An agreement between the Marine Management Organisation and the Port of London Authority on the streamlining of marine regulatory activity.,Thames concordat: working with the Port of London Authority An agreement between the Marine Management Organisation and the Port of London Authority on the streamlining of marine regulatory activity.,"{""bart"": ""Stats"", ""roberta"": ""OMT""}"
Delay to Sea Fisheries Statistics 2023,https://www.gov.uk/government/publications/delay-to-sea-fisheries-statistics-2023,8 October 2024,This notice includes details of the reason for the delay and the likely effect on future statistical releases.,Delay to Sea Fisheries Statistics 2023 This notice includes details of the reason for the delay and the likely effect on future statistical releases.,"{""bart"": ""Stats"", ""roberta"": ""Stats""}"
Apply to the Seafood Disruption Support Scheme,https://www.gov.uk/guidance/apply-to-the-seafood-disruption-support-scheme,1 March 2021,Information on how to apply to the Seafood Disruption Support Scheme,Apply to the Seafood Disruption Support Scheme Information on how to apply to the Seafood Disruption Support Scheme,"{""bart"": ""Funding"", ""roberta"": ""Funding""}"
Seabream Fisheries Management Plan (FMP) development,https://www.gov.uk/guidance/black-seabream-fisheries-management-plan-fmp,2 December 2024,"The Seabream Fisheries Management Plan (FMP) covers ICES areas 4b, 4c, 7a, 7d, 7e, 7f, 7g, 7h, and 7j within English waters.","Seabream Fisheries Management Plan (FMP) development The Seabream Fisheries Management Plan (FMP) covers ICES areas 4b, 4c, 7a, 7d, 7e, 7f, 7g, 7h, and 7j within English waters.","{""bart"": ""Stats"", ""roberta"": ""Conservative team""}"
Marine planning - statement of public participation,https://www.gov.uk/government/publications/marine-planning-statement-of-public-participation,15 January 2024,"Details of what a Statement of Public Participation includes, who we engage with and how","Marine planning - statement of public participation Details of what a Statement of Public Participation includes, who we engage with and how","{""bart"": ""Marine Planning"", ""roberta"": ""Marine Planning""}"
Draft South Marine Plan,https://www.gov.uk/government/publications/draft-south-marine-plan,16 November 2016,Information and documents on the development of the Draft South Marine Plans.,Draft South Marine Plan Information and documents on the development of the Draft South Marine Plans.,"{""bart"": ""Marine Planning"", ""roberta"": ""FDST""}"
Wrasses complex Fisheries Management Plan (FMP) development,https://www.gov.uk/guidance/wrasse-complex-fisheries-management-plan-fmp,2 December 2024,"The Wrasses complex Fisheries Management Plan (FMP) covers ICES areas 4b, 4c, 7a, 7d, 7e, 7f, 7g, 7h, and 7j within English waters. It includes the following species: Goldsinny, ballan, corkwing and rock cook.","Wrasses complex Fisheries Management Plan (FMP) development The Wrasses complex Fisheries Management Plan (FMP) covers ICES areas 4b, 4c, 7a, 7d, 7e, 7f, 7g, 7h, and 7j within English waters. It includes the following species: Goldsinny, ballan, corkwing and rock cook.","{""bart"": ""Stats"", ""roberta"": ""Conservative team""}"
One stop shop for vessel monitoring systems for under-12m vessels.,https://www.gov.uk/guidance/one-stop-shop-for-vessel-monitoring-systems-for-under-12m-vessels,6 July 2021,Guidance to support fishermen on The Marine Management Organisation's plans on vessel monitoring systems for under-12m vessels.,One stop shop for vessel monitoring systems for under-12m vessels. Guidance to support fishermen on The Marine Management Organisation's plans on vessel monitoring systems for under-12m vessels.,"{""bart"": ""Marine Planning"", ""roberta"": ""IVMS""}"
Guidance on England’s Demersal Reserve Quota allocation for 2020,https://www.gov.uk/government/publications/guidance-on-englands-demersal-reserve-quota-allocation-for-2020,12 May 2020,Guidance on England’s Demersal Reserve Quota allocation for 2020,Guidance on England’s Demersal Reserve Quota allocation for 2020 Guidance on England’s Demersal Reserve Quota allocation for 2020,"{""bart"": ""FMT"", ""roberta"": ""Funding""}"
Fish Producer Organisation (PO) production and marketing plan,https://www.gov.uk/government/publications/fish-producer-organisation-po-production-and-marketing-plan,3 September 2025,Guidance and how to submit your Production and Marketing Plan (PMP).,Fish Producer Organisation (PO) production and marketing plan Guidance and how to submit your Production and Marketing Plan (PMP).,"{""bart"": ""Marine Planning"", ""roberta"": ""Funding""}"
2022 UK and foreign vessels landings by UK port and UK vessel landings abroad: provisional data,https://www.gov.uk/government/publications/2022-uk-and-foreign-vessels-landings-by-uk-port-and-uk-vessel-landings-abroad-provisional-data,27 January 2023,UK and foreign vessels landings by UK port and UK vessel landings abroad: provisional data,2022 UK and foreign vessels landings by UK port and UK vessel landings abroad: provisional data UK and foreign vessels landings by UK port and UK vessel landings abroad: provisional data,"{""bart"": ""Stats"", ""roberta"": ""Stats""}"
Harbour Revision Orders (HRO) (non-works),https://www.gov.uk/guidance/harbour-revision-orders-hro-non-works,16 December 2021,Documents to provide on application for a Harbour Revision Order (HRO) (non-works),Harbour Revision Orders (HRO) (non-works) Documents to provide on application for a Harbour Revision Order (HRO) (non-works),"{""bart"": ""Funding"", ""roberta"": ""Funding""}"
Bass industry guidance 2021,https://www.gov.uk/government/publications/bass-industry-guidance-2021,28 October 2021,"Information on the rules, regulations and restrictions for bass fishing in 2021 and 2022","Bass industry guidance 2021 Information on the rules, regulations and restrictions for bass fishing in 2021 and 2022","{""bart"": ""Compliance"", ""roberta"": ""Funding""}"
2023 UK and foreign vessels landings by UK port and UK vessel landings abroad: provisional data,https://www.gov.uk/government/publications/2023-uk-and-foreign-vessels-landings-by-uk-port-and-uk-vessel-landings-abroad-provisional-data,8 October 2024,UK and foreign vessels landings by UK port and UK vessel landings abroad: provisional data.,2023 UK and foreign vessels landings by UK port and UK vessel landings abroad: provisional data UK and foreign vessels landings by UK port and UK vessel landings abroad: provisional data.,"{""bart"": ""Stats"", ""roberta"": ""Stats""}"
England’s Demersal Reserve Quota allocation for 2019,https://www.gov.uk/government/publications/englands-demersal-reserve-quota-allocation-for-2019,4 November 2019,Information for the fishing industry on the 2019 reserve quota policy approach,England’s Demersal Reserve Quota allocation for 2019 Information for the fishing industry on the 2019 reserve quota policy approach,"{""bart"": ""FMT"", ""roberta"": ""Funding""}"
Incineration of any substance or object,https://www.gov.uk/guidance/incineration-of-any-substance-or-object,30 May 2019,This guidance outlines the circumstances under which a marine licence may be required from the MMO.,Incineration of any substance or object This guidance outlines the circumstances under which a marine licence may be required from the MMO.,"{""bart"": ""Global Marine Team"", ""roberta"": ""FMT""}"
Revised statements of public participation - South East,https://www.gov.uk/government/publications/revised-statements-of-public-participation-south-east,10 January 2020,Revised statements of public participation - South East,Revised statements of public participation - South East Revised statements of public participation - South East,"{""bart"": ""Marine Planning"", ""roberta"": ""FDST""}"
Quota Leasing Scheme,https://www.gov.uk/guidance/quota-leasing-scheme,27 January 2025,There is anticipated to be excess quota in the non-sector pools. In order to make the best use of this quota and to ensure opportunities are available to as many vessels as possible the MMO are taking the following action for English vessels.,Quota Leasing Scheme There is anticipated to be excess quota in the non-sector pools. In order to make the best use of this quota and to ensure opportunities are available to as many vessels as possible the MMO are taking the following action for English vessels.,"{""bart"": ""Stats"", ""roberta"": ""Funding""}"
Queen scallop seasonal closure,https://www.gov.uk/government/publications/queen-scallop-seasonal-closure,6 April 2018,Details of the seasonal closure between 1 April 2018 and 30 June 2018 on fishing for queen scallops.,Queen scallop seasonal closure Details of the seasonal closure between 1 April 2018 and 30 June 2018 on fishing for queen scallops.,"{""bart"": ""Stats"", ""roberta"": ""Funding""}"
Coffin requirements for burial at sea,https://www.gov.uk/government/publications/burial-at-sea-further-information,28 February 2024,Coffin specifications for funeral directors burying someone at sea.,Coffin requirements for burial at sea Coffin specifications for funeral directors burying someone at sea.,"{""bart"": ""Marine Licensing"", ""roberta"": ""Funding""}"
"Inner Dowsing, Race Bank and North Ridge European Marine Site (Specified Areas) Bottom Towed Fishing Gear Byelaw",https://www.gov.uk/government/publications/inner-dowsing-race-bank-and-north-ridge-european-marine-site-specified-areas-bottom-towed-fishing-gear-byelaw,11 June 2014,"The byelaw for bottom towed fishing gear, including an impact assessment and charts.","Inner Dowsing, Race Bank and North Ridge European Marine Site (Specified Areas) Bottom Towed Fishing Gear Byelaw The byelaw for bottom towed fishing gear, including an impact assessment and charts.","{""bart"": ""Conservative team"", ""roberta"": ""Conservative team""}"
East marine plan areas: Statement of Public Participation,https://www.gov.uk/government/publications/east-marine-plan-areas-statement-of-public-participation,11 June 2014,The Statement of Publication Participation outlines who may be involved in marine planning and how and when people can get involved.,East marine plan areas: Statement of Public Participation The Statement of Publication Participation outlines who may be involved in marine planning and how and when people can get involved.,"{""bart"": ""Marine Planning"", ""roberta"": ""Marine Planning""}"
East marine plans: decision makers' workshops,https://www.gov.uk/government/publications/east-marine-plans-decision-makers-workshops,11 June 2014,A report that summarises outputs of the workshops and highlights actions and next steps for implementation and monitoring.,East marine plans: decision makers' workshops A report that summarises outputs of the workshops and highlights actions and next steps for implementation and monitoring.,"{""bart"": ""Marine Planning"", ""roberta"": ""Planning Team""}"
South marine plan areas map,https://www.gov.uk/government/publications/south-marine-plan-areas-map,11 June 2014,Map showing the South Inshore and South Offshore marine plan areas.,South marine plan areas map Map showing the South Inshore and South Offshore marine plan areas.,"{""bart"": ""Marine Planning"", ""roberta"": ""Funding""}"
South marine plan areas: Statement of Public Participation,https://www.gov.uk/government/publications/south-marine-plan-areas-statement-of-public-participation,4 February 2015,The Statement of Publication Participation outlines who may be involved in marine planning and how and when people can get involved.,South marine plan areas: Statement of Public Participation The Statement of Publication Participation outlines who may be involved in marine planning and how and when people can get involved.,"{""bart"": ""Marine Planning"", ""roberta"": ""Marine Planning""}"
Calculate your fisheries catch limits,https://www.gov.uk/government/publications/calculate-your-fisheries-catch-limits,26 February 2024,How to calculate the live weight of fish based on landed weight and conversion factors.,Calculate your fisheries catch limits How to calculate the live weight of fish based on landed weight and conversion factors.,"{""bart"": ""Stats"", ""roberta"": ""Stats""}"
Engine power monitoring and testing,https://www.gov.uk/government/publications/engine-power-monitoring-and-testing,12 March 2020,Guidance on the fishing vessel engine power testing programme for English-registered vessels.,Engine power monitoring and testing Guidance on the fishing vessel engine power testing programme for English-registered vessels.,"{""bart"": ""Compliance"", ""roberta"": ""FVL""}"
Fisheries in European marine sites: Fishing gears,https://www.gov.uk/government/publications/fisheries-in-european-marine-sites-fishing-gears,11 June 2014,Definitions of different fishing gears.,Fisheries in European marine sites: Fishing gears Definitions of different fishing gears.,"{""bart"": ""Funding"", ""roberta"": ""Funding""}"
Fishing offences: Fishing licence points system,https://www.gov.uk/government/publications/fishing-offences-fishing-licence-points-system,5 January 2021,Points will be applied to an English-registered fishing licence if the licence holder is convicted of a serious infringement in a UK court.,Fishing offences: Fishing licence points system Points will be applied to an English-registered fishing licence if the licence holder is convicted of a serious infringement in a UK court.,"{""bart"": ""Compliance"", ""roberta"": ""FVL""}"
Fishing vessel inspections,https://www.gov.uk/government/publications/fishing-vessel-inspections,5 January 2021,Codes of conduct for inspecting a fishing vessel at sea or in harbour.,Fishing vessel inspections Codes of conduct for inspecting a fishing vessel at sea or in harbour.,"{""bart"": ""Compliance"", ""roberta"": ""Funding""}"
Seasonal closures 2014,https://www.gov.uk/government/publications/closed-fishing-areas-in-english-waters-seasonal-closures-2014,11 June 2014,Two sea areas closed in IVc from 00:00 on 1 January to 23:59 on 30 April 2014.,Seasonal closures 2014 Two sea areas closed in IVc from 00:00 on 1 January to 23:59 on 30 April 2014.,"{""bart"": ""Compliance"", ""roberta"": ""Funding""}"
Marine protected areas: strategic management table,https://www.gov.uk/government/publications/marine-protected-areas-strategic-management-table,5 April 2016,"A high-level view for all European marine sites and the first tranche of Marine Conservation Zones in English waters, including some current actions on site management.","Marine protected areas: strategic management table A high-level view for all European marine sites and the first tranche of Marine Conservation Zones in English waters, including some current actions on site management.","{""bart"": ""Conservative team"", ""roberta"": ""Conservative team""}"
Electronic Recording System user manual,https://www.gov.uk/government/publications/electronic-recording-system-user-manual,9 February 2018,This manual gives guidance on using the Electronic Recording System hub.,Electronic Recording System user manual This manual gives guidance on using the Electronic Recording System hub.,"{""bart"": ""Funding"", ""roberta"": ""Funding""}"
Lyme Bay Designated Area,https://www.gov.uk/government/publications/lyme-bay-designated-area,12 August 2014,Since July 2008 dredging for shellfish and demersal trawling has been prohibited in a designated 60 square mile area of Lyme Bay.,Lyme Bay Designated Area Since July 2008 dredging for shellfish and demersal trawling has been prohibited in a designated 60 square mile area of Lyme Bay.,"{""bart"": ""Conservative team"", ""roberta"": ""Funding""}"
South Devon trawling and crabbing chart 2024,https://www.gov.uk/government/publications/south-devon-trawling-and-crabbing-chart-2014,14 February 2025,The chart represents a long standing agreement between fishermen using pots and creels and those who fish with trawls and scallop dredges.,South Devon trawling and crabbing chart 2024 The chart represents a long standing agreement between fishermen using pots and creels and those who fish with trawls and scallop dredges.,"{""bart"": ""Stats"", ""roberta"": ""Funding""}"
Real Time Closure (RTC) in the Skagerrak,https://www.gov.uk/government/publications/real-time-closure-rtc-in-the-skagerrak,24 February 2015,"This closure has been put in place by the Danish AgriFish Agency for the protection of juvenile cod, haddock, saithe and whiting","Real Time Closure (RTC) in the Skagerrak This closure has been put in place by the Danish AgriFish Agency for the protection of juvenile cod, haddock, saithe and whiting","{""bart"": ""Conservative team"", ""roberta"": ""Conservative team""}"
Real Time Closure (RTC) in the Skaggerak 22/11 - 12/12/14.,https://www.gov.uk/government/publications/real-time-closure-rtc-in-the-skaggerak-2211-121214,24 November 2014,"This closure has been put in place by the Danish AgriFish Agency  in the Skagerrak for Juvenile Cod, Haddock, Saithe and Whiting.","Real Time Closure (RTC) in the Skaggerak 22/11 - 12/12/14. This closure has been put in place by the Danish AgriFish Agency  in the Skagerrak for Juvenile Cod, Haddock, Saithe and Whiting.","{""bart"": ""Conservative team"", ""roberta"": ""Funding""}"
RFG Newsletters Autumn 2023,https://www.gov.uk/government/publications/rfg-newsletters-winter-2023,1 December 2023,Autumn 2023 edition of the RFG newsletters.,RFG Newsletters Autumn 2023 Autumn 2023 edition of the RFG newsletters.,"{""bart"": ""Funding"", ""roberta"": ""Comms""}"
Pollack Compensation Scheme,https://www.gov.uk/government/publications/pollack-compensation-scheme,12 April 2024,On 10 April 2024 Defra launched a Pollack compensation scheme to provide support to those who have been most impacted by the bycatch-only pollack fishery in the South-West.,Pollack Compensation Scheme On 10 April 2024 Defra launched a Pollack compensation scheme to provide support to those who have been most impacted by the bycatch-only pollack fishery in the South-West.,"{""bart"": ""Compliance"", ""roberta"": ""Funding""}"
Fish Producer Organisation (PO) compliance and enforcement,https://www.gov.uk/government/publications/fish-producer-organisation-po-compliance-and-enforcement,3 September 2025,Details of the Marine Management Organisation (MMO) compliance and enforcement approach to producer organisations.,Fish Producer Organisation (PO) compliance and enforcement Details of the Marine Management Organisation (MMO) compliance and enforcement approach to producer organisations.,"{""bart"": ""Compliance"", ""roberta"": ""Conservative team""}"
Real Time Closure (RTC) in the Norwegian Economic Zone,https://www.gov.uk/government/publications/real-time-closure-rtc-in-the-norwegian-economic-zone,14 May 2015,"This closure has been put in place by the Directorate of Fisheries in Norway for the protection of juvenile cod, haddock, saithe and whiting. *Amended Thursday 14 May 2015*","Real Time Closure (RTC) in the Norwegian Economic Zone This closure has been put in place by the Directorate of Fisheries in Norway for the protection of juvenile cod, haddock, saithe and whiting. *Amended Thursday 14 May 2015*","{""bart"": ""Conservative team"", ""roberta"": ""Conservative team""}"
North sea Fully Documented Fishery (FDF) scheme 2017,https://www.gov.uk/government/publications/catch-quota-trial-scheme-application-forms-terms-and-conditions,7 April 2017,Application forms and the terms and conditions for fishing vessels and owners taking part in the 2017 North Sea FDF scheme.,North sea Fully Documented Fishery (FDF) scheme 2017 Application forms and the terms and conditions for fishing vessels and owners taking part in the 2017 North Sea FDF scheme.,"{""bart"": ""FVL"", ""roberta"": ""Funding""}"
How to export wild caught marine fishery products to the EU from 01 January 2021,https://www.gov.uk/government/publications/how-to-export-wild-caught-marine-fishery-products-to-the-eu-from-01-january-2021,21 May 2021,"Fishing and seafood businesses need to prepare for 1 January 2021, the end of the transition period when there will be some new processes for exporting fish and seafood into the EU.","How to export wild caught marine fishery products to the EU from 01 January 2021 Fishing and seafood businesses need to prepare for 1 January 2021, the end of the transition period when there will be some new processes for exporting fish and seafood into the EU.","{""bart"": ""Stats"", ""roberta"": ""Funding""}"
Applying to be a fish Producer Organisation (PO),https://www.gov.uk/government/publications/applying-to-be-a-fish-producer-organisation-po,3 September 2025,"Information, guidance and forms for applying to be a fish Producer Organisation (PO).","Applying to be a fish Producer Organisation (PO) Information, guidance and forms for applying to be a fish Producer Organisation (PO).","{""bart"": ""Funding"", ""roberta"": ""OMT""}"
Quota Leasing Scheme - April 2024,https://www.gov.uk/guidance/quota-leasing-scheme-april-2024,4 April 2024,"Offer of additional quota to vessels in the non-sector with under 10 metre capped licences and over 10 metres: Category B, Category C and no-quota annex licences.","Quota Leasing Scheme - April 2024 Offer of additional quota to vessels in the non-sector with under 10 metre capped licences and over 10 metres: Category B, Category C and no-quota annex licences.","{""bart"": ""FMT"", ""roberta"": ""FVL""}"
Bass industry guidance 2019,https://www.gov.uk/government/publications/bass-industry-guidance-2019,7 September 2020,"Information on the rules, regulations and restrictions for bass fishing in 2019.","Bass industry guidance 2019 Information on the rules, regulations and restrictions for bass fishing in 2019.","{""bart"": ""Compliance"", ""roberta"": ""Funding""}"
Precautionary area at Koralbanken (19 June to 3 July 2015),https://www.gov.uk/government/publications/precautionary-area-at-koralbanken-19-june-to-3-july-2015,22 June 2015,"On Friday 19 June 2015 a precautionary area in Koralbanken has been set for fishing vessels, fishing with seine net and trawl for demersal species.","Precautionary area at Koralbanken (19 June to 3 July 2015) On Friday 19 June 2015 a precautionary area in Koralbanken has been set for fishing vessels, fishing with seine net and trawl for demersal species.","{""bart"": ""Conservative team"", ""roberta"": ""Funding""}"
"Marine Planning: Iteration 3 engagement for the north east, north west, south east and south west marine plan areas",https://www.gov.uk/government/publications/marine-planning-iteration-3-engagement-for-the-north-east-north-west-south-east-and-south-west-marine-plan-areas,3 September 2020,Please note: the Marine Planning Iteration 3 engagement period ended on 29 March 2019. An engagement summary can be viewed below.,"Marine Planning: Iteration 3 engagement for the north east, north west, south east and south west marine plan areas Please note: the Marine Planning Iteration 3 engagement period ended on 29 March 2019. An engagement summary can be viewed below.","{""bart"": ""Marine Planning"", ""roberta"": ""Marine Planning""}"
Non-licensable Activity Impacts on Marine Protected Areas (MMO1136),https://www.gov.uk/government/publications/non-licensable-activity-impacts-on-marine-protected-areas-mmo1136,10 December 2019,"MMO wishes to develop a sufficiently robust evidence base on the full range and types of marine non-licensable activities, their current and potential intensity, and risk of impact on marine protected areas.","Non-licensable Activity Impacts on Marine Protected Areas (MMO1136) MMO wishes to develop a sufficiently robust evidence base on the full range and types of marine non-licensable activities, their current and potential intensity, and risk of impact on marine protected areas.","{""bart"": ""IVMS"", ""roberta"": ""Conservative team""}"
Fishing quota trading and swaps,https://www.gov.uk/government/publications/fishing-quota-trading-and-swaps,14 February 2025,The Marine Management Organisation (MMO) aims to help the fishing industry maximise use of quotas.,Fishing quota trading and swaps The Marine Management Organisation (MMO) aims to help the fishing industry maximise use of quotas.,"{""bart"": ""FMT"", ""roberta"": ""FMT""}"
Fish Producer Organisation (PO) annual report,https://www.gov.uk/government/publications/fish-producer-organisation-po-annual-report,3 September 2025,Information on what to include in your annual report.,Fish Producer Organisation (PO) annual report Information on what to include in your annual report.,"{""bart"": ""Stats"", ""roberta"": ""SIA""}"
Have Your Say On Proposed Brown Crab Conservation Measures in the South West,https://www.gov.uk/government/publications/have-your-say-on-proposed-brown-crab-conservation-measures-in-the-south-west,28 August 2025,"The Marine Management Organisation (MMO), on behalf of Defra, has launched a new online survey inviting stakeholders to share their views on proposed changes to brown crab management in the South West.","Have Your Say On Proposed Brown Crab Conservation Measures in the South West The Marine Management Organisation (MMO), on behalf of Defra, has launched a new online survey inviting stakeholders to share their views on proposed changes to brown crab management in the South West.","{""bart"": ""Conservative team"", ""roberta"": ""Funding""}"
"Marine planning: second outputs for north east, north west, south east and south west marine plan areas  Marine planning engagement events",https://www.gov.uk/government/publications/marine-planning-second-outputs-for-north-east-north-west-south-east-and-south-west-marine-plan-areas-marine-planning-engagement-events,4 September 2020,"Iteration 2: Public engagement on draft visions and options for marine planning in the north east, north west, south east and south west","Marine planning: second outputs for north east, north west, south east and south west marine plan areas  Marine planning engagement events Iteration 2: Public engagement on draft visions and options for marine planning in the north east, north west, south east and south west","{""bart"": ""Marine Planning"", ""roberta"": ""Marine Planning""}"
Planning Newsletter: Summer 2018,https://www.gov.uk/government/publications/planning-newsletter-summer-2018--2,10 January 2020,Newsletter from the MMO marine planning team Summer 2018,Planning Newsletter: Summer 2018 Newsletter from the MMO marine planning team Summer 2018,"{""bart"": ""Comms"", ""roberta"": ""Planning Team""}"
Southern North Sea and English Channel Skates and Rays Fisheries Management Plan (FMP) development,https://www.gov.uk/guidance/southern-north-sea-and-english-channel-skates-and-rays-fisheries-management-plan,18 July 2024,"The Southern North Sea and English Channel Skates and Rays Fisheries Management Plan covers ICES divisions 7d, 7e, 4b and 4c and includes species Thornback ray, Blonde ray, Undulate ray, Small-eyed ray, Spotted ray, Cuckoo ray and Starry ray.","Southern North Sea and English Channel Skates and Rays Fisheries Management Plan (FMP) development The Southern North Sea and English Channel Skates and Rays Fisheries Management Plan covers ICES divisions 7d, 7e, 4b and 4c and includes species Thornback ray, Blonde ray, Undulate ray, Small-eyed ray, Spotted ray, Cuckoo ray and Starry ray.","{""bart"": ""Stats"", ""roberta"": ""Funding""}"
Catching or landing of berried lobsters and crawfish in England,https://www.gov.uk/government/publications/catching-or-landing-of-berried-lobsters-and-crawfish-in-england,6 December 2017,From 1 October 2017 UK registered vessels must not fish for berried lobsters.,Catching or landing of berried lobsters and crawfish in England From 1 October 2017 UK registered vessels must not fish for berried lobsters.,"{""bart"": ""Compliance"", ""roberta"": ""FMT""}"
Christmas and New Year opening schedule 2020,https://www.gov.uk/guidance/christmas-and-new-year-opening-schedule-2020,23 December 2020,Opening times during the 2020 holiday period,Christmas and New Year opening schedule 2020 Opening times during the 2020 holiday period,"{""bart"": ""Funding"", ""roberta"": ""Funding""}"
Marine Planning Monitoring Surveys 2022 Summary,https://www.gov.uk/government/publications/marine-planning-monitoring-surveys-2022-summary,16 February 2024,"Marine plan monitoring surveys were carried out between the 5th January and the 7th March 2022 for the North East, North West, East, South, South East and South West Marine Plans.","Marine Planning Monitoring Surveys 2022 Summary Marine plan monitoring surveys were carried out between the 5th January and the 7th March 2022 for the North East, North West, East, South, South East and South West Marine Plans.","{""bart"": ""Marine Planning"", ""roberta"": ""Marine Planning""}"
Fisheries management team service standards,https://www.gov.uk/government/publications/fisheries-management-team-service-standards,11 February 2019,"We aim to deliver all of our decisions by considering a social, environmental and economic perspective.","Fisheries management team service standards We aim to deliver all of our decisions by considering a social, environmental and economic perspective.","{""bart"": ""Stats"", ""roberta"": ""Planning Team""}"
A guide to current financial and welfare support for the fishing industry during Covid-19,https://www.gov.uk/government/publications/a-guide-to-current-financial-and-welfare-support-for-the-fishing-industry-during-covid-19,9 March 2021,The Marine Management Organisation (MMO) is working to continue to provide its services during the unfolding events around the Covid-19 pandemic.,A guide to current financial and welfare support for the fishing industry during Covid-19 The Marine Management Organisation (MMO) is working to continue to provide its services during the unfolding events around the Covid-19 pandemic.,"{""bart"": ""Funding"", ""roberta"": ""Funding""}"
Revised statements of public participation - North West,https://www.gov.uk/government/publications/revised-statements-of-public-participation-north-west,10 January 2020,Revised statements of public participation - North West,Revised statements of public participation - North West Revised statements of public participation - North West,"{""bart"": ""Marine Planning"", ""roberta"": ""FDST""}"
Validating the method of fish capture - Metabolomics (MMO1164),https://www.gov.uk/government/publications/validating-the-method-of-fish-capture-metabolomics-mmo1164,12 February 2020,This proof of principle study investigated a non-targeted metabolomics approach using mass spectrometry to evaluate if this is a potential approach to distinguish between line and hanging net caught mackerel.,Validating the method of fish capture - Metabolomics (MMO1164) This proof of principle study investigated a non-targeted metabolomics approach using mass spectrometry to evaluate if this is a potential approach to distinguish between line and hanging net caught mackerel.,"{""bart"": ""FDST"", ""roberta"": ""Funding""}"
Marine pioneer,https://www.gov.uk/government/publications/marine-pioneer,17 January 2019,Information on the pioneering new approaches (including natural capital) to the management of the marine environment.,Marine pioneer Information on the pioneering new approaches (including natural capital) to the management of the marine environment.,"{""bart"": ""Conservative team"", ""roberta"": ""Marine Planning""}"
Revised statements of public participation - North East,https://www.gov.uk/government/publications/revised-statements-of-public-participation-north-east,10 January 2020,Revised statements of public participation - North East,Revised statements of public participation - North East Revised statements of public participation - North East,"{""bart"": ""Marine Planning"", ""roberta"": ""FDST""}"
Harbour Order Statement in Support Templates,https://www.gov.uk/guidance/harbour-order-statement-in-support-templates,28 July 2020,The MMO has introduced Harbour Order Statement in Support templates.,Harbour Order Statement in Support Templates The MMO has introduced Harbour Order Statement in Support templates.,"{""bart"": ""Funding"", ""roberta"": ""Funding""}"
Bluefin Tuna Catch & Release Recreational Fishery (CRRF) - Guidance,https://www.gov.uk/government/publications/bluefin-tuna-catch-release-recreational-fishery-crrf-guidance,4 September 2025,Guidance for Bluefin Tuna Catch & Release Recreational Fishery (CRRF).,Bluefin Tuna Catch & Release Recreational Fishery (CRRF) - Guidance Guidance for Bluefin Tuna Catch & Release Recreational Fishery (CRRF).,"{""bart"": ""Stats"", ""roberta"": ""Funding""}"
Harbour Reorganisation Schemes (HRS),https://www.gov.uk/guidance/harbour-reorganisation-schemes-hrs,16 December 2021,These are the documents that need to be provided for a harbour reorganisation scheme (HRS),Harbour Reorganisation Schemes (HRS) These are the documents that need to be provided for a harbour reorganisation scheme (HRS),"{""bart"": ""FVL"", ""roberta"": ""Funding""}"
North Sea Fully Documented Fishery (FDF) scheme,https://www.gov.uk/government/publications/north-sea-fully-documented-fishery-fdf-and-north-sea-nephrops-schemes,7 September 2020,Application forms and terms and conditions for fishing vessel owners.,North Sea Fully Documented Fishery (FDF) scheme Application forms and terms and conditions for fishing vessel owners.,"{""bart"": ""FVL"", ""roberta"": ""Funding""}"
Notification of change to licence conditions for 10m and under,https://www.gov.uk/government/publications/notification-of-change-to-licence-conditions-for-10m-and-under,21 December 2017,The MMO is intending to amend the current 10m and under licence condition by 19 January 2018.,Notification of change to licence conditions for 10m and under The MMO is intending to amend the current 10m and under licence condition by 19 January 2018.,"{""bart"": ""FVL"", ""roberta"": ""FVL""}"
Removal of dead or stranded animals below the high water mark,https://www.gov.uk/government/publications/removal-of-dead-or-stranded-animals-below-the-high-water-mark,30 November 2015,"Actions to take when removing dead or stranded animals from below the high water mark using a vehicle, vessel or platform.","Removal of dead or stranded animals below the high water mark Actions to take when removing dead or stranded animals from below the high water mark using a vehicle, vessel or platform.","{""bart"": ""Funding"", ""roberta"": ""Funding""}"
Marine licensing team service standards,https://www.gov.uk/guidance/marine-licensing-team-service-standards,19 December 2018,"We aim to deliver timely, cost-proportionate and evidence-based determinations; providing excellent customer service through a user-friendly system.","Marine licensing team service standards We aim to deliver timely, cost-proportionate and evidence-based determinations; providing excellent customer service through a user-friendly system.","{""bart"": ""Stats"", ""roberta"": ""Funding""}"
Fisheries quota allocation 2018,https://www.gov.uk/government/publications/fisheries-quota-allocation-2018,12 June 2018,These are the fishing quota allocations for 2018 for England and the UK.,Fisheries quota allocation 2018 These are the fishing quota allocations for 2018 for England and the UK.,"{""bart"": ""FMT"", ""roberta"": ""SIA""}"
Sea Views Magazine,https://www.gov.uk/guidance/sea-views-magazine,18 January 2023,"A magazine for our Marine Management Organisation customers, partners and other stakeholders.","Sea Views Magazine A magazine for our Marine Management Organisation customers, partners and other stakeholders.","{""bart"": ""Comms"", ""roberta"": ""Marine Planning""}"
Harbour Order Fees,https://www.gov.uk/government/publications/harbour-order-fees,10 August 2022,Appropriate fees for Harbour Orders,Harbour Order Fees Appropriate fees for Harbour Orders,"{""bart"": ""Compliance"", ""roberta"": ""FMT""}"
